"Year","Dam","MedianPassage","Species","MeanMayTemp","arr_GAM_mean"
2019,"Bonneville",127,"Yearling Chinook",13.2521756756757,153.097333333333
2020,"Bonneville",128,"Yearling Chinook",13.155531628533,140.797
2021,"Bonneville",128,"Yearling Chinook",14.361541218638,86.9293333333333
2022,"Bonneville",135,"Yearling Chinook",11.9949460916442,104.883
2023,"Bonneville",132,"Yearling Chinook",13.3861826953003,105.231333333333
2024,"Bonneville",125,"Yearling Chinook",13.4162096774194,NA
2000,"Lower Granite",146,"Coho",11.9798252688172,NA
2001,"Lower Granite",155,"Coho",11.9908287920073,NA
2002,"Lower Granite",143,"Coho",10.5164092140921,NA
2003,"Lower Granite",147,"Coho",10.6353773584906,NA
2004,"Lower Granite",142,"Coho",11.7925537634409,NA
2005,"Lower Granite",130,"Coho",11.6896769851952,NA
2006,"Lower Granite",139,"Coho",11.9247043010753,NA
2007,"Lower Granite",135,"Coho",11.8908870967742,NA
2008,"Lower Granite",133,"Coho",10.1620564516129,NA
2009,"Lower Granite",141,"Coho",11.038175776583,136.56
2010,"Lower Granite",141,"Coho",10.9231451612903,103.789333333333
2011,"Lower Granite",137,"Coho",10.6641871584699,NA
2012,"Lower Granite",138,"Coho",10.9334408602151,104.416333333333
2013,"Lower Granite",134,"Coho",11.2915725806452,114.225
2014,"Lower Granite",139,"Coho",10.9181586021505,88.9446666666667
2015,"Lower Granite",133,"Coho",13.0070698924731,89.7503333333333
2016,"Lower Granite",129,"Coho",12.2590188172043,125.846
2017,"Lower Granite",133,"Coho",11.6691382915173,107.043333333333
2018,"Lower Granite",131,"Coho",11.5785349462366,103.697
2019,"Lower Granite",134,"Coho",11.8345295698925,100.091
2020,"Lower Granite",142,"Coho",10.851814516129,111.285
2021,"Lower Granite",132,"Coho",11.4067429340511,89.2456666666667
2022,"Lower Granite",130,"Coho",10.4325806451613,107.778666666667
2023,"Lower Granite",137,"Coho",11.9318206521739,86.2413333333333
2024,"Lower Granite",121,"Coho",12.3304166666667,99.9546666666667
2000,"Lower Granite",145,"Sockeye",11.9798252688172,NA
2001,"Lower Granite",143,"Sockeye",11.9908287920073,NA
2002,"Lower Granite",138,"Sockeye",10.5164092140921,NA
2003,"Lower Granite",151,"Sockeye",10.6353773584906,NA
2004,"Lower Granite",143,"Sockeye",11.7925537634409,NA
2005,"Lower Granite",140,"Sockeye",11.6896769851952,NA
2006,"Lower Granite",134,"Sockeye",11.9247043010753,NA
2007,"Lower Granite",136,"Sockeye",11.8908870967742,NA
2008,"Lower Granite",141,"Sockeye",10.1620564516129,NA
2009,"Lower Granite",140,"Sockeye",11.038175776583,136.56
2010,"Lower Granite",151,"Sockeye",10.9231451612903,103.789333333333
2011,"Lower Granite",141,"Sockeye",10.6641871584699,NA
2012,"Lower Granite",140,"Sockeye",10.9334408602151,104.416333333333
2013,"Lower Granite",137,"Sockeye",11.2915725806452,114.225
2014,"Lower Granite",123,"Sockeye",10.9181586021505,88.9446666666667
2015,"Lower Granite",137,"Sockeye",13.0070698924731,89.7503333333333
2016,"Lower Granite",143,"Sockeye",12.2590188172043,125.846
2017,"Lower Granite",129,"Sockeye",11.6691382915173,107.043333333333
2018,"Lower Granite",137,"Sockeye",11.5785349462366,103.697
2019,"Lower Granite",138,"Sockeye",11.8345295698925,100.091
2020,"Lower Granite",136,"Sockeye",10.851814516129,111.285
2021,"Lower Granite",129,"Sockeye",11.4067429340511,89.2456666666667
2022,"Lower Granite",134,"Sockeye",10.4325806451613,107.778666666667
2023,"Lower Granite",135,"Sockeye",11.9318206521739,86.2413333333333
2024,"Lower Granite",138,"Sockeye",12.3304166666667,99.9546666666667
2000,"Lower Granite",128,"Steelhead",11.9798252688172,NA
2001,"Lower Granite",130,"Steelhead",11.9908287920073,NA
2002,"Lower Granite",132,"Steelhead",10.5164092140921,NA
2003,"Lower Granite",136,"Steelhead",10.6353773584906,NA
2004,"Lower Granite",130,"Steelhead",11.7925537634409,NA
2005,"Lower Granite",129,"Steelhead",11.6896769851952,NA
2006,"Lower Granite",124,"Steelhead",11.9247043010753,NA
2007,"Lower Granite",127,"Steelhead",11.8908870967742,NA
2008,"Lower Granite",131,"Steelhead",10.1620564516129,NA
2009,"Lower Granite",123,"Steelhead",11.038175776583,136.56
2010,"Lower Granite",131,"Steelhead",10.9231451612903,103.789333333333
2011,"Lower Granite",130,"Steelhead",10.6641871584699,NA
2012,"Lower Granite",119,"Steelhead",10.9334408602151,104.416333333333
2013,"Lower Granite",129,"Steelhead",11.2915725806452,114.225
2014,"Lower Granite",124,"Steelhead",10.9181586021505,88.9446666666667
2015,"Lower Granite",118,"Steelhead",13.0070698924731,89.7503333333333
2016,"Lower Granite",117,"Steelhead",12.2590188172043,125.846
2017,"Lower Granite",118,"Steelhead",11.6691382915173,107.043333333333
2018,"Lower Granite",121,"Steelhead",11.5785349462366,103.697
2019,"Lower Granite",113,"Steelhead",11.8345295698925,100.091
2020,"Lower Granite",124,"Steelhead",10.851814516129,111.285
2021,"Lower Granite",110,"Steelhead",11.4067429340511,89.2456666666667
2022,"Lower Granite",130,"Steelhead",10.4325806451613,107.778666666667
2023,"Lower Granite",124,"Steelhead",11.9318206521739,86.2413333333333
2024,"Lower Granite",111,"Steelhead",12.3304166666667,99.9546666666667
2000,"Lower Granite",185,"Subyearling Chinook",11.9798252688172,NA
2001,"Lower Granite",185,"Subyearling Chinook",11.9908287920073,NA
2002,"Lower Granite",189,"Subyearling Chinook",10.5164092140921,NA
2003,"Lower Granite",169,"Subyearling Chinook",10.6353773584906,NA
2004,"Lower Granite",173,"Subyearling Chinook",11.7925537634409,NA
2005,"Lower Granite",154,"Subyearling Chinook",11.6896769851952,NA
2006,"Lower Granite",156,"Subyearling Chinook",11.9247043010753,NA
2007,"Lower Granite",161,"Subyearling Chinook",11.8908870967742,NA
2008,"Lower Granite",168,"Subyearling Chinook",10.1620564516129,NA
2009,"Lower Granite",160,"Subyearling Chinook",11.038175776583,136.56
2010,"Lower Granite",159,"Subyearling Chinook",10.9231451612903,103.789333333333
2011,"Lower Granite",161,"Subyearling Chinook",10.6641871584699,NA
2012,"Lower Granite",166,"Subyearling Chinook",10.9334408602151,104.416333333333
2013,"Lower Granite",160,"Subyearling Chinook",11.2915725806452,114.225
2014,"Lower Granite",162,"Subyearling Chinook",10.9181586021505,88.9446666666667
2015,"Lower Granite",158,"Subyearling Chinook",13.0070698924731,89.7503333333333
2016,"Lower Granite",163,"Subyearling Chinook",12.2590188172043,125.846
2017,"Lower Granite",156,"Subyearling Chinook",11.6691382915173,107.043333333333
2018,"Lower Granite",152,"Subyearling Chinook",11.5785349462366,103.697
2019,"Lower Granite",155,"Subyearling Chinook",11.8345295698925,100.091
2020,"Lower Granite",160,"Subyearling Chinook",10.851814516129,111.285
2021,"Lower Granite",176,"Subyearling Chinook",11.4067429340511,89.2456666666667
2022,"Lower Granite",160,"Subyearling Chinook",10.4325806451613,107.778666666667
2023,"Lower Granite",148,"Subyearling Chinook",11.9318206521739,86.2413333333333
2024,"Lower Granite",160,"Subyearling Chinook",12.3304166666667,99.9546666666667
2000,"Lower Granite",125,"Yearling Chinook",11.9798252688172,NA
2001,"Lower Granite",125,"Yearling Chinook",11.9908287920073,NA
2002,"Lower Granite",125,"Yearling Chinook",10.5164092140921,NA
2003,"Lower Granite",126,"Yearling Chinook",10.6353773584906,NA
2004,"Lower Granite",125,"Yearling Chinook",11.7925537634409,NA
2005,"Lower Granite",125,"Yearling Chinook",11.6896769851952,NA
2006,"Lower Granite",125,"Yearling Chinook",11.9247043010753,NA
2007,"Lower Granite",123,"Yearling Chinook",11.8908870967742,NA
2008,"Lower Granite",130,"Yearling Chinook",10.1620564516129,NA
2009,"Lower Granite",127,"Yearling Chinook",11.038175776583,136.56
2010,"Lower Granite",124,"Yearling Chinook",10.9231451612903,103.789333333333
2011,"Lower Granite",128,"Yearling Chinook",10.6641871584699,NA
2012,"Lower Granite",118,"Yearling Chinook",10.9334408602151,104.416333333333
2013,"Lower Granite",128,"Yearling Chinook",11.2915725806452,114.225
2014,"Lower Granite",124,"Yearling Chinook",10.9181586021505,88.9446666666667
2015,"Lower Granite",116,"Yearling Chinook",13.0070698924731,89.7503333333333
2016,"Lower Granite",117,"Yearling Chinook",12.2590188172043,125.846
2017,"Lower Granite",119,"Yearling Chinook",11.6691382915173,107.043333333333
2018,"Lower Granite",123,"Yearling Chinook",11.5785349462366,103.697
2019,"Lower Granite",119,"Yearling Chinook",11.8345295698925,100.091
2020,"Lower Granite",126,"Yearling Chinook",10.851814516129,111.285
2021,"Lower Granite",125,"Yearling Chinook",11.4067429340511,89.2456666666667
2022,"Lower Granite",129,"Yearling Chinook",10.4325806451613,107.778666666667
2023,"Lower Granite",124,"Yearling Chinook",11.9318206521739,86.2413333333333
2024,"Lower Granite",109,"Yearling Chinook",12.3304166666667,99.9546666666667
2000,"McNary",159,"Coho",12.6618842530283,NA
2001,"McNary",NA,"Coho",13.3891790040377,NA
2002,"McNary",151,"Coho",11.5752016129032,NA
2003,"McNary",155,"Coho",11.7170325203252,NA
2004,"McNary",152,"Coho",13.0503091397849,NA
2005,"McNary",141,"Coho",12.8442607526882,NA
2006,"McNary",147,"Coho",12.4844623655914,NA
2007,"McNary",141,"Coho",12.513064516129,NA
2008,"McNary",146,"Coho",11.6404838709677,NA
2009,"McNary",143,"Coho",11.7000672043011,NA
